id tr721 tr722 con723 con725
FBgn0085804 0 0 0 0
FBgn0267431 104 131 77 57
FBgn0039987 0 0 0 0
FBgn0058182 0 0 0 0
FBgn0267430 1045 992 700 729
FBgn0266747 132 134 82 126
FBgn0086917 2 0 2 2
FBgn0010247 2612 2838 972 1733
FBgn0086378 941 748 420 657
FBgn0263977 4265 4003 2578 3073
FBgn0069923 227 177 120 210
FBgn0039955 2272 2440 1348 1711
FBgn0259821 120 133 126 141
FBgn0027341 138 160 182 311
FBgn0085812 330 283 235 281
FBgn0058198 0 2 0 0
FBgn0037213 38 30 142 198
FBgn0053294 20 10 14 12
FBgn0000500 11 1 6 10
FBgn0037215 399 550 421 526
FBgn0037217 326 371 351 260
FBgn0037218 2046 2867 1520 1652
FBgn0051516 666 936 954 1472
FBgn0261436 244 289 283 267
FBgn0037220 2193 2838 1512 1874
FBgn0015331 2380 3484 1534 1170
FBgn0010225 1456 1914 890 1148
FBgn0037222 3125 4416 1667 1795
FBgn0085334 16 6 5 6
FBgn0037223 10 2 4 0
FBgn0037224 10 16 8 6
FBgn0037225 16 49 37 49
FBgn0250821 7754 8685 7010 7256
FBgn0037227 146 157 92 103
FBgn0041621 4 0 0 0
FBgn0037228 672 796 408 530
FBgn0037229 1257 1394 1030 1026
FBgn0267157 0 0 0 0
FBgn0041605 308 501 378 344
FBgn0037230 407 514 381 380
FBgn0262214 0 0 0 0
FBgn0027930 264 320 258 189
FBgn0037231 4155 4980 2867 2733
FBgn0037232 594 878 243 428
FBgn0261086 306 412 191 178
FBgn0037234 2826 3233 2453 2590
FBgn0027866 6353 7841 5094 4448
FBgn0037236 214 240 163 285
FBgn0040687 0 0 0 0
FBgn0037235 1142 1410 667 904
FBgn0261434 30 49 52 38
FBgn0037238 68 50 34 78
FBgn0266227 10 0 8 6
FBgn0037239 12383 13926 10410 10204
FBgn0037240 2103 3190 1811 2022
FBgn0003882 678 809 374 509
FBgn0037241 266 331 183 304
FBgn0086608 95 79 66 103
FBgn0267661 7 7 14 6
FBgn0037242 922 1139 626 680
FBgn0086605 4737 5828 3459 3472
FBgn0037244 318 405 270 299
FBgn0266697 23 13 10 24
FBgn0263594 11128 13424 6274 7714
FBgn0052944 2960 3002 2404 2565
FBgn0051528 6963 8734 5585 5866
FBgn0037248 440 571 244 436
FBgn0051525 7307 7600 5441 6004
FBgn0037249 7598 11669 6146 5210
FBgn0037250 1130 1233 786 632
FBgn0037251 5 2 1 1
FBgn0264983 0 0 0 0
FBgn0037252 2029 3279 1536 1548
FBgn0051522 242 270 282 448
FBgn0263620 16 4 36 66
FBgn0051523 13360 16741 10235 11899
FBgn0037254 3225 4719 2873 2508
FBgn0037255 766 1105 788 750
FBgn0085386 134 160 46 58
